idelem,intensidad,ocupacion,carga
4739,508,7,39
4740,160,2,12
4741,200,0,13
4742,240,15,21
4743,320,2,12
4744,280,1,10
4757,7,5,5
4746,160,0,5
4747,162,15,26
4748,360,6,29
4749,360,3,20
4750,360,2,13
4751,312,6,26
3566,480,2,33
3567,640,3,17
3568,600,9,55
4752,280,4,26
10977,212,2,16
4754,200,1,17
10978,0,0,0
10979,0,0,0
4758,360,3,26
4759,240,3,19
4760,169,1,12
4761,85,1,7
4762,212,4,20
4763,169,1,6
4764,127,5,17
4766,212,2,16
4767,466,6,35
4768,0,0,0
4769,127,1,9
4771,60,43,29
10226,120,1,9
10225,270,3,22
10228,300,4,25
4755,80,0,6
4745,40,0,3
4753,40,22,24
4756,40,23,25
10236,60,63,64
10237,150,32,39
4770,300,20,31
10227,300,65,73
4772,240,50,42
4765,85,6,12
4802,216,2,9
4803,108,1,4
4794,72,0,4
4808,823,6,20
4809,1080,4,33
4810,849,4,19
4811,0,0,0
4812,212,1,13
4813,85,0,3
4818,212,4,18
4819,254,5,21
10568,926,3,28
10569,951,3,28
4822,1260,3,26
4823,1671,4,26
3569,900,2,31
4824,720,3,26
4825,1851,7,39
4826,1363,3,28
4827,114,0,4
4828,129,2,6
4829,1999,6,41
3802,1260,4,27
3803,1646,11,38
4830,411,17,40
4831,463,1,11
4832,231,8,22
4833,180,2,8
4834,180,3,15
4835,180,15,28
4836,315,3,13
4837,437,5,18
10873,309,16,33
10286,280,28,41
10288,40,0,3
10287,240,6,21
10289,40,56,57
10492,40,0,3
10493,160,1,12
10494,80,0,5
10863,1363,3,27
10864,1569,4,32
10871,1491,4,24
10858,1548,4,32
10859,180,1,6
10860,489,3,18
10861,1077,3,26
10877,283,22,40
10876,309,5,25
10906,180,1,7
10284,129,16,23
10285,231,13,26
10872,40,43,45
4817,42,0,3
4838,0,0,0
4820,257,20,33
4821,231,17,30
4839,225,4,18
4840,180,1,13
4841,90,1,3
3623,315,8,27
3624,360,28,45
4842,270,6,23
6825,135,3,12
11044,341,1,12
11039,303,1,11
11042,152,1,6
11043,38,1,4
11045,341,3,14
10401,265,1,10
7001,135,1,5
4845,0,0,0
4846,315,10,29
4847,405,2,15
4848,135,9,13
4849,135,1,5
4850,405,2,15
4851,225,3,10
4852,270,2,10
4853,90,1,7
4854,90,2,7
4855,450,3,17
4856,0,0,0
7000,90,1,7
4843,45,41,11
11041,0,3,3
11040,76,1,6
10514,192,4,16
10522,144,3,12
10520,0,0,0
10521,48,0,3
4860,160,30,21
10519,257,0,9
10517,154,1,11
10518,55,7,8
10516,566,2,20
10515,368,1,13
10513,240,9,24
4876,360,3,26
4869,180,1,13
4870,90,0,6
4871,0,0,0
5220,192,3,9
4882,144,3,12
4883,288,1,10
4885,400,16,38
4886,280,53,62
4887,80,58,60
4888,200,2,15
4889,155,25,33
3625,84,6,11
3626,40,0,3
3627,144,3,12
4890,160,7,17
4858,154,53,29
5203,103,1,7
4861,160,6,13
4859,40,0,3
4867,0,0,0
4868,120,65,68
3419,103,0,7
4891,51,0,3
10523,480,2,18
10524,240,7,22
10526,768,3,27
10525,336,0,11
10961,593,5,43
6635,211,3,14
6636,518,7,39
6637,254,0,17
6638,593,7,44
4878,480,0,16
4879,432,23,45
4880,480,1,16
5204,96,76,49
4881,144,1,5
5219,126,2,10
5217,300,2,22
5218,0,0,0
10108,307,11,29
10106,76,2,7
10104,114,3,10
10107,189,31,40
4866,189,8,20
10512,144,0,10
10962,212,1,15
4872,495,13,42
4873,463,1,16
4877,257,1,18
4874,309,0,10
4875,309,0,10
4884,566,3,21
4862,189,6,18
4863,76,40,43
10105,303,77,82
4865,227,83,86
3835,23,12,14
6632,22,5,7
6631,12,0,1
6633,10,6,7
6634,85,40,43
3570,7,5,2
4857,0,0,0
10968,169,2,13
10994,33,15,17
10995,425,9,35
10992,131,1,10
10993,65,2,6
10969,212,2,16
10971,381,8,31
4895,196,2,6
4896,0,0,0
4897,425,3,16
4898,254,5,21
4899,212,6,19
4900,339,3,14
4901,339,7,28
4902,350,8,29
10970,85,2,8
10972,381,5,29
11075,0,0,0
11073,85,1,7
11074,381,27,46
11072,254,4,20
4912,296,6,25
4909,524,12,43
4913,33,15,17
4914,42,1,4
4917,0,0,0
4916,169,71,49
4910,65,15,8
4915,339,87,90
4922,1505,9,54
4923,622,2,22
10684,164,4,17
10683,327,3,24
4926,1407,11,52
4927,622,25,40
10942,229,3,18
4929,229,2,17
4930,1767,15,49
4931,556,4,21
